PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_1,Backtracking,Yes,24,1.10,30.33,27,22,24,22,22,22,27,23,2359,56,8942080,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126938574537614892984752136391845267265379481748126359813297645472563918659481723,2658935554400,2658944347100,8792,1
Puzzle_1,ConstraintPropagation,Yes,24,1.10,30.33,44,29,22,22,24,22,44,28,6,56,8954600,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,2659067279300,2659067371800,92,1
Puzzle_1,DPLLSAT,Yes,24,1.10,30.33,165,54,42,40,45,40,165,69,2,729,88573992,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126934578537641892984152736391584267265379481743826159812793645478265319659417823,2659220469900,2659220602000,132,1
Puzzle_1,DLX,Yes,24,1.10,30.33,10,10,14,12,12,10,14,11,111,57,8963808,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,2659570171600,2659570252000,80,1
Puzzle_2,Backtracking,Yes,23,1.21,31.84,18,49,54,19,17,17,54,31,6689,57,13159984,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2659631969500,2659632125400,155,1
Puzzle_2,ConstraintPropagation,Yes,23,1.21,31.84,19,20,16,17,16,16,20,17,33,57,8967416,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2659791508700,2659791653500,144,1
Puzzle_2,DPLLSAT,Yes,23,1.21,31.84,57,66,46,50,47,46,66,53,2,729,32037416,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2659882015800,2659882099600,83,1
Puzzle_2,DLX,Yes,23,1.21,31.84,9,12,12,12,12,9,12,11,64,58,8971432,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2660149306400,2660149597200,290,1
Puzzle_3,Backtracking,Yes,23,1.04,30.06,14,15,18,18,17,14,18,16,4892,57,8974648,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,2660210127200,2660210211600,84,1
Puzzle_3,ConstraintPropagation,Yes,23,1.04,30.06,14,14,14,12,13,12,14,13,12,57,8978376,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,2660295552800,2660295650300,97,1
Puzzle_3,DPLLSAT,Yes,23,1.04,30.06,59,47,45,47,46,45,59,48,1,729,29951704,007420000010900000000001030000800720040070580300000010030060000900030050000009001,567423198413987265294651837659814723142376589378295416735168942981732654826549371,2660366233500,2660366413700,180,1
Puzzle_3,DLX,Yes,23,1.04,30.06,16,15,14,14,14,14,16,14,61,58,8980480,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,2660614705600,2660614814800,109,1
Puzzle_4,Backtracking,Yes,25,1.18,30.76,14,14,14,12,13,12,14,13,1390,55,8978896,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,2660691531800,2660691678000,146,1
Puzzle_4,ConstraintPropagation,Yes,25,1.18,30.76,13,15,14,16,19,13,19,15,4,55,8980624,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,2660761610600,2660761715800,105,1
Puzzle_4,DPLLSAT,Yes,25,1.18,30.76,62,52,48,46,43,43,62,50,1,729,32768296,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132478659856394217694125387243589176581762943379641825467983512725816394918253764,2660844222300,2660844474100,251,1
Puzzle_4,DLX,Yes,25,1.18,30.76,9,12,14,12,12,9,14,11,56,56,8982672,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,2661098051600,2661098131800,80,1
Puzzle_5,Backtracking,Yes,24,1.28,32.18,16,15,14,16,15,14,16,15,4549,56,8982048,408200000209700000030100000000305120041000609000000000000000418007020090500000002,478256931219734586635189274896345127341872659752691843923567418167428395584913762,2661159778800,2661160014400,235,1
Puzzle_5,ConstraintPropagation,Yes,24,1.28,32.18,12,16,13,15,11,11,16,13,2,56,8983776,408200000209700000030100000000305120041000609000000000000000418007020090500000002,478256931219734586635189274896345127341872659752691843923567418167428395584913762,2661238951400,2661239034100,82,1
Puzzle_5,DPLLSAT,Yes,24,1.28,32.18,50,50,46,52,46,46,52,48,3,729,32892912,408200000209700000030100000000305120041000609000000000000000418007020090500000002,418236975269743581735189246876395124341872659952461873623957418187524396594618732,2661311217400,2661311326500,109,1
Puzzle_5,DLX,Yes,24,1.28,32.18,11,13,17,15,13,11,17,13,57,57,8986752,408200000209700000030100000000305120041000609000000000000000418007020090500000002,478256931219734586635189274896345127341872659752691843923567418167428395584913762,2661558360800,2661558484200,123,1
Puzzle_6,Backtracking,Yes,25,1.06,29.61,200,170,181,164,167,164,200,176,240047,55,86600768,006903008000000200000050960000065000600004001005009020000090003301000000420010680,746923518958671234213458967134265879692784351875139426567892143381546792429317685,2661629900100,2661629993200,93,1
Puzzle_6,ConstraintPropagation,Yes,25,1.06,29.61,9,12,13,14,13,9,14,12,16,55,8990808,006903008000000200000050960000065000600004001005009020000090003301000000420010680,746923518958671234213458967134265879692784351875139426567892143381546792429317685,2662516096200,2662516155500,59,1
Puzzle_6,DPLLSAT,Yes,25,1.06,29.61,47,51,57,48,53,47,57,51,2,729,32745856,006903008000000200000050960000065000600004001005009020000090003301000000420010680,146923578957681234234158967713265849692734851875139426568492173381546792429317685,2662578922800,2662578977500,54,1
Puzzle_6,DLX,Yes,25,1.06,29.61,13,14,13,14,13,13,14,13,87,56,8994208,006903008000000200000050960000065000600004001005009020000090003301000000420010680,746923518958671234213458967134265879692784351875139426567892143381546792429317685,2662838225000,2662838352900,127,1
Puzzle_7,Backtracking,Yes,23,0.71,26.96,119,120,101,104,101,101,120,109,136429,57,50955200,007006090000000200005009000320000000001090008000208307010460700080000030000070006,847526193193784265265139874328647951471395628659218347512463789786951432934872516,2662908457200,2662908601200,144,1
Puzzle_7,ConstraintPropagation,Yes,23,0.71,26.96,24,22,28,27,25,22,28,25,230,57,21577744,007006090000000200005009000320000000001090008000208307010460700080000030000070006,847526193193784265265139874328647951471395628659218347512463789786951432934872516,2663455345100,2663455417900,72,1
Puzzle_7,DPLLSAT,Yes,23,0.71,26.96,49,47,73,58,49,47,73,55,1,729,32065152,007006090000000200005009000320000000001090008000208307010460700080000030000070006,147526893869734251245189673328647519671395428954218367513462789786952134432871956,2663585043000,2663585166900,123,1
Puzzle_7,DLX,Yes,23,0.71,26.96,13,12,13,12,12,12,13,12,149,58,8998768,007006090000000200005009000320000000001090008000208307010460700080000030000070006,847526193193784265265139874328647951471395628659218347512463789786951432934872516,2663865011500,2663865122400,110,1
Puzzle_8,Backtracking,Yes,23,0.86,28.36,126,111,93,102,102,93,126,106,145759,57,32067296,009000200080200600000107000500006040000000000020504960000040013702000000030800005,379465281185293674264187539517926348496738152823514967958642713742351896631879425,2663933158100,2663933374800,216,1
Puzzle_8,ConstraintPropagation,Yes,23,0.86,28.36,13,12,14,13,12,12,14,12,10,57,9002272,009000200080200600000107000500006040000000000020504960000040013702000000030800005,379465281185293674264187539517926348496738152823514967958642713742351896631879425,2664469640400,2664469709100,68,1
Puzzle_8,DPLLSAT,Yes,23,0.86,28.36,52,46,42,51,50,42,52,48,1,729,60164448,009000200080200600000107000500006040000000000020504960000040013702000000030800005,179463258483295671254167389518926347964738152327514968895642713742351896631879425,2664537023100,2664537105300,82,1
Puzzle_8,DLX,Yes,23,0.86,28.36,14,12,17,17,13,12,17,14,92,58,9002768,009000200080200600000107000500006040000000000020504960000040013702000000030800005,379465281185293674264187539517926348496738152823514967958642713742351896631879425,2664783088600,2664783216200,127,1
Puzzle_9,Backtracking,Yes,25,1.12,30.20,14,15,16,17,16,14,17,15,4646,55,9002704,000010020000000584000700000509000003800609200006005100000500000300021970080040010,465318729713296584928754631579182463841639257236475198197563842354821976682947315,2664858093700,2664858150400,56,1
Puzzle_9,ConstraintPropagation,Yes,25,1.12,30.20,13,13,13,12,12,12,13,12,4,55,9004016,000010020000000584000700000509000003800609200006005100000500000300021970080040010,465318729713296584928754631579182463841639257236475198197563842354821976682947315,2664938907000,2664938990100,83,1
Puzzle_9,DPLLSAT,Yes,25,1.12,30.20,51,49,44,40,41,40,51,45,1,729,33003896,000010020000000584000700000509000003800609200006005100000500000300021970080040010,465318729713296584928754631579182463841639257236475198197563842354821976682947315,2665003201200,2665003262800,61,1
Puzzle_9,DLX,Yes,25,1.12,30.20,8,11,11,35,10,8,35,15,56,56,9008912,000010020000000584000700000509000003800609200006005100000500000300021970080040010,465318729713296584928754631579182463841639257236475198197563842354821976682947315,2665231671500,2665231733200,61,1
Puzzle_10,Backtracking,Yes,23,1.02,29.91,41,43,46,43,42,41,46,43,57909,57,32074968,800020000391000000060309050180000700009800200000400500000080000050007080400000010,845726139391548672267319854184295763579863241623471598716984325952137486438652917,2665310408200,2665310534000,125,1
Puzzle_10,ConstraintPropagation,Yes,23,1.02,29.91,24,24,24,19,21,19,24,22,87,57,11103336,800020000391000000060309050180000700009800200000400500000080000050007080400000010,845726139391548672267319854184295763579863241623471598716984325952137486438652917,2665542960000,2665543599800,639,1
Puzzle_10,DPLLSAT,Yes,23,1.02,29.91,90,79,76,77,80,76,90,80,1,729,26495784,800020000391000000060309050180000700009800200000400500000080000050007080400000010,845726139391548672267319854184295763579863241623471598716984325952137486438652917,2665670297100,2665670441700,144,1
Puzzle_10,DLX,Yes,23,1.02,29.91,13,18,16,14,14,13,18,15,64,58,9007952,800020000391000000060309050180000700009800200000400500000080000050007080400000010,845726139391548672267319854184295763579863241623471598716984325952137486438652917,2666077140200,2666077263400,123,1
Puzzle_11,Backtracking,Yes,24,1.07,30.06,17,19,17,14,18,14,19,17,748,56,9008064,600207000000000005015000079000075490003980000000100000028000000030000500004008610,689257134372419865415863279861375492243986751957142386528631947136794528794528613,2666157311000,2666157422800,111,1
Puzzle_11,ConstraintPropagation,Yes,24,1.07,30.06,15,18,18,17,16,15,18,16,17,56,9011232,600207000000000005015000079000075490003980000000100000028000000030000500004008610,689257134372419865415863279861375492243986751957142386528631947136794528794528613,2666245240200,2666245385800,145,1
Puzzle_11,DPLLSAT,Yes,24,1.07,30.06,85,75,56,69,78,56,85,72,3,729,35201920,600207000000000005015000079000075490003980000000100000028000000030000500004008610,649257138387419265215634879861375492453986721982146357728561943136729584574398612,2666334511600,2666335970000,1458,1
Puzzle_11,DLX,Yes,24,1.07,30.06,21,14,15,17,15,14,21,16,100,57,9015648,600207000000000005015000079000075490003980000000100000028000000030000500004008610,689257134372419865415863279861375492243986751957142386528631947136794528794528613,2666710169400,2666710355800,186,1
Puzzle_12,Backtracking,Yes,24,1.02,29.50,20,23,19,14,21,14,23,19,323,56,9015032,006804300090010000400007020030080001508000040000006000250900070080072000000300000,726894315893215467415637829632489751578123946149756238254968173381572694967341582,2666795646500,2666795731900,85,1
Puzzle_12,ConstraintPropagation,Yes,24,1.02,29.50,20,15,18,16,15,15,20,16,11,56,9016840,006804300090010000400007020030080001508000040000006000250900070080072000000300000,726894315893215467415637829632489751578123946149756238254968173381572694967341582,2666895974100,2666896070800,96,1
Puzzle_12,DPLLSAT,Yes,24,1.02,29.50,79,68,78,79,83,68,83,77,1,729,32084840,006804300090010000400007020030080001508000040000006000250900070080072000000300000,726854319895213467413697825632485791578139246149726835254968173381572694967341582,2666984854700,2666984954700,100,1
Puzzle_12,DLX,Yes,24,1.02,29.50,14,21,18,21,22,14,22,19,91,57,9018128,006804300090010000400007020030080001508000040000006000250900070080072000000300000,726894315893215467415637829632489751578123946149756238254968173381572694967341582,2667377187000,2667377340500,153,1
Puzzle_13,Backtracking,Yes,23,1.04,30.06,28,21,20,20,18,18,28,21,3986,57,11116408,000020060004080009000073040305009000408000100000000300009000070040000086070002001,581924763734685219962173845315749628498236157627851394159368472243517986876492531,2667477925600,2667478050100,124,1
Puzzle_13,ConstraintPropagation,Yes,23,1.04,30.06,17,17,18,17,21,17,21,18,27,57,9023080,000020060004080009000073040305009000408000100000000300009000070040000086070002001,581924763734685219962173845315749628498236157627851394159368472243517986876492531,2667587804300,2667587921600,117,1
Puzzle_13,DPLLSAT,Yes,23,1.04,30.06,80,69,78,72,80,69,80,75,2,729,34949656,000020060004080009000073040305009000408000100000000300009000070040000086070002001,157924863234685719681973542315749628498236157762815394829361475543197286876452931,2667682819800,2667682914700,94,1
Puzzle_13,DLX,Yes,23,1.04,30.06,16,17,18,17,16,16,18,16,86,58,9025576,000020060004080009000073040305009000408000100000000300009000070040000086070002001,581924763734685219962173845315749628498236157627851394159368472243517986876492531,2668067457900,2668067622700,164,1
Puzzle_14,Backtracking,Yes,24,0.77,27.09,43,42,41,40,40,40,43,41,26888,56,17415008,000065000005000800109704000700300000040100039090000060004003090600500008000020700,478265913265931874139784625752396481846157239391842567584673192627519348913428756,2668156584900,2668156699600,114,1
Puzzle_14,ConstraintPropagation,Yes,24,0.77,27.09,25,23,23,23,22,22,25,23,80,56,15319024,000065000005000800109704000700300000040100039090000060004003090600500008000020700,478265913265931874139784625752396481846157239391842567584673192627519348913428756,2668365740700,2668365860500,119,1
Puzzle_14,DPLLSAT,Yes,24,0.77,27.09,77,83,77,73,78,73,83,77,1,729,30630144,000065000005000800109704000700300000040100039090000060004003090600500008000020700,273865941465912873189734625752396184546187239391258467814673592627549318938421756,2668485041300,2668485179400,138,1
