PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_1,Backtracking,Yes,24,1.10,30.33,18,11,9,6,6,6,18,10,2359,56,831216,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126938574537614892984752136391845267265379481748126359813297645472563918659481723,13558624241200,13558648508700,24267,1
Puzzle_1,ConstraintPropagation,Yes,24,1.10,30.33,22,11,8,6,6,6,22,10,6,56,1243944,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,13558710905500,13558711018600,113,1
Puzzle_1,DPLLSAT,Yes,24,1.10,30.33,281,224,177,178,176,176,281,207,6,729,182420192,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126938574537614892984752136391845267265379481748126359813297645472563918659481723,13558766747700,13558766932700,185,1
Puzzle_1,DLX,Yes,24,1.10,30.33,5,4,3,4,4,3,5,4,111,57,1257840,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,13559804341800,13559804594500,252,1
Puzzle_2,Backtracking,Yes,23,1.21,31.84,17,16,15,16,13,13,17,15,6689,57,3357768,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,13559824911700,13559825005100,93,1
Puzzle_2,ConstraintPropagation,Yes,23,1.21,31.84,16,8,20,9,7,7,20,12,33,57,1490304,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,13559902919600,13559903288500,368,1
Puzzle_2,DPLLSAT,Yes,23,1.21,31.84,267,170,187,180,174,170,267,195,2,729,190803256,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,13559963849200,13559963984000,134,1
Puzzle_2,DLX,Yes,23,1.21,31.84,4,3,3,4,3,3,4,3,64,58,1267408,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,13560942959400,13560943026600,67,1
Puzzle_3,Backtracking,Yes,23,1.04,30.06,5,7,6,7,7,5,7,6,4892,57,1269304,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,13560960544400,13560960590200,45,1
Puzzle_3,ConstraintPropagation,Yes,23,1.04,30.06,5,4,5,6,5,4,6,5,12,57,1271536,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,13560992784500,13560992849700,65,1
Puzzle_3,DPLLSAT,Yes,23,1.04,30.06,226,200,198,192,196,192,226,202,6,729,188415008,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,13561018690900,13561018881200,190,1
Puzzle_3,DLX,Yes,23,1.04,30.06,3,3,3,4,3,3,4,3,61,58,1275616,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,13562031001600,13562031059600,58,1
Puzzle_4,Backtracking,Yes,25,1.18,30.76,3,5,3,4,4,3,5,3,1390,55,1277504,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,13562048484500,13562048521300,36,1
Puzzle_4,ConstraintPropagation,Yes,25,1.18,30.76,4,3,4,3,5,3,5,3,4,55,1279640,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,13562067987900,13562068041400,53,1
Puzzle_4,DPLLSAT,Yes,25,1.18,30.76,192,180,189,182,178,178,192,184,2,729,180263032,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,13562087558000,13562087660800,102,1
Puzzle_4,DLX,Yes,25,1.18,30.76,4,3,4,3,3,3,4,3,56,56,1281648,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,13563009620200,13563009758600,138,1
