PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_1,Backtracking,Yes,347,2.04,19.01,1704,2215,2019,2143,1891,1704,2215,1994,2169681,277,80578200,0000000194101220171167141800015118003001217240112000130520221000230007200413251803015059200230019024225113190092304014102515000110020180150211017003125018000004192501322702000000023210102207186191402411412170002101020141301361118216232200001551314256001807190120421135080022016121608005015110002401349210001819147000028461223000000000000910050000013006119038712151124022183061800020002100131492111220171600100171607925002230011050000141300211942215181116200257140010017100030001214700617100205019001624980021511100001918001340028151401670025202902001108021170070422305120152300150120423002051600001110182102414019113023312240081009020176000001100816250013000142100000200301710000001650121002514801917015020010023231207138000600022221110249163140191024520150000000012250020182221171001000619000071551631223110000902001909041318142012401000000001200,24232925212219410122017116714183135151186143818121724151122171913952022161042316251672011413251818322156592171023141219212422511319166923742414102515211281117220183156211017201431251118282316244192511322792023155916232113182225718619141024114121741792124102014131913611182162322122578155131425611241817719101294211351582223220161216238125522151121732420134921761018191471822191028461223516151411252420171321391920523214211013416611917387121511242522183256181215520232421018131492111221917164710241716187925198223211211652042231413115211942215181116224925714823101317120563121113121472236171152320541918251624981022151110242161918221713412328151423167912520291820141108162117191172442232551261523131715712342329205162522610111131821192414819113423312241425810189152017672121651122681625221113751514212320124122919318171041822113165212109251482119171315620417242323121571381720256181142222111024916314519142452015711316691323122519821418222117102510141761912124227155163122311184820913282119292341318142012417102271653152512611,18313005740900,18313021329800,15588,1
Puzzle_1,ConstraintPropagation,Yes,347,2.04,19.01,54,23,23,32,23,23,54,31,0,277,10749920,0000000194101220171167141800015118003001217240112000130520221000230007200413251803015059200230019024225113190092304014102515000110020180150211017003125018000004192501322702000000023210102207186191402411412170002101020141301361118216232200001551314256001807190120421135080022016121608005015110002401349210001819147000028461223000000000000910050000013006119038712151124022183061800020002100131492111220171600100171607925002230011050000141300211942215181116200257140010017100030001214700617100205019001624980021511100001918001340028151401670025202902001108021170070422305120152300150120423002051600001110182102414019113023312240081009020176000001100816250013000142100000200301710000001650121002514801917015020010023231207138000600022221110249163140191024520150000000012250020182221171001000619000071551631223110000902001909041318142012401000000001200,24232925212219410122017116714183135151186143818121724151122171913952022161042316251672011413251818322156592171023141219212422511319166923742414102515211281117220183156211017201431251118282316244192511322792023155916232113182225718619141024114121741792124102014131913611182162322122578155131425611241817719101294211351582223220161216238125522151121732420134921761018191471822191028461223516151411252420171321391920523214211013416611917387121511242522183256181215520232421018131492111221917164710241716187925198223211211652042231413115211942215181116224925714823101317120563121113121472236171152320541918251624981022151110242161918221713412328151423167912520291820141108162117191172442232551261523131715712342329205162522610111131821192414819113423312241425810189152017672121651122681625221113751514212320124122919318171041822113165212109251482119171315620417242323121571381720256181142222111024916314519142452015711316691323122519821418222117102510141761912124227155163122311184820913282119292341318142012417102271653152512611,18323006621900,18323006817800,195,1
Puzzle_1,DPLLSAT,Yes,347,2.04,19.01,98416,103247,106426,108530,113029,98416,113029,105929,0,15625,2480752816,0000000194101220171167141800015118003001217240112000130520221000230007200413251803015059200230019024225113190092304014102515000110020180150211017003125018000004192501322702000000023210102207186191402411412170002101020141301361118216232200001551314256001807190120421135080022016121608005015110002401349210001819147000028461223000000000000910050000013006119038712151124022183061800020002100131492111220171600100171607925002230011050000141300211942215181116200257140010017100030001214700617100205019001624980021511100001918001340028151401670025202902001108021170070422305120152300150120423002051600001110182102414019113023312240081009020176000001100816250013000142100000200301710000001650121002514801917015020010023231207138000600022221110249163140191024520150000000012250020182221171001000619000071551631223110000902001909041318142012401000000001200,24232925212219410122017116714183135151186143818121724151122171913952022161042316251672011413251818322156592171023141219212422511319166923742414102515211281117220183156211017201431251118282316244192511322792023155916232113182225718619141024114121741792124102014131913611182162322122578155131425611241817719101294211351582223220161216238125522151121732420134921761018191471822191028461223516151411252420171321391920523214211013416611917387121511242522183256181215520232421018131492111221917164710241716187925198223211211652042231413115211942215181116224925714823101317120563121113121472236171152320541918251624981022151110242161918221713412328151423167912520291820141108162117191172442232551261523131715712342329205162522610111131821192414819113423312241425810189152017672121651122681625221113751514212320124122919318171041822113165212109251482119171315620417242323121571381720256181142222111024916314519142452015711316691323122519821418222117102510141761912124227155163122311184820913282119292341318142012417102271653152512611,18323163000600,18323163186500,185,1
Puzzle_1,DLX,Yes,347,2.04,19.01,12,9,4,5,5,4,12,7,278,278,1241416,0000000194101220171167141800015118003001217240112000130520221000230007200413251803015059200230019024225113190092304014102515000110020180150211017003125018000004192501322702000000023210102207186191402411412170002101020141301361118216232200001551314256001807190120421135080022016121608005015110002401349210001819147000028461223000000000000910050000013006119038712151124022183061800020002100131492111220171600100171607925002230011050000141300211942215181116200257140010017100030001214700617100205019001624980021511100001918001340028151401670025202902001108021170070422305120152300150120423002051600001110182102414019113023312240081009020176000001100816250013000142100000200301710000001650121002514801917015020010023231207138000600022221110249163140191024520150000000012250020182221171001000619000071551631223110000902001909041318142012401000000001200,24232925212219410122017116714183135151186143818121724151122171913952022161042316251672011413251818322156592171023141219212422511319166923742414102515211281117220183156211017201431251118282316244192511322792023155916232113182225718619141024114121741792124102014131913611182162322122578155131425611241817719101294211351582223220161216238125522151121732420134921761018191471822191028461223516151411252420171321391920523214211013416611917387121511242522183256181215520232421018131492111221917164710241716187925198223211211652042231413115211942215181116224925714823101317120563121113121472236171152320541918251624981022151110242161918221713412328151423167912520291820141108162117191172442232551261523131715712342329205162522610111131821192414819113423312241425810189152017672121651122681625221113751514212320124122919318171041822113165212109251482119171315620417242323121571381720256181142222111024916314519142452015711316691323122519821418222117102510141761912124227155163122311184820913282119292341318142012417102271653152512611,18852812554100,18852812688200,134,1
Puzzle_2,Backtracking,Yes,352,2.29,19.63,1570,1341,1345,1336,1323,1323,1570,1383,1699465,272,81211480,1452018191023017137150001612002200000709004020160140005212483012000124164015000000122218140001023600000000001191810132102006170111552224423013100122569240400022000070000018071724005100200211934162000022005231300226111400702510122011815017006190000120155231710713901481611250161021325189010190000151700000057121422007016817300180052321249401310200210110002390160170025021120122017210130169190006142515402312010023180191210615021500002900073040002300400007180000016152213019002000241452031300019001101180231791526322232520172111601202400018141905130218130150181401000201903001670022412007000191200200006913243017000110080000100023018142501511001900000201900570901110021810025200141600480160113220150924002014201071002110017700232419133820000011060189252500150100182160000023013192114800200290210157001822053000161125231912240181123508250621219141022009001303,14520181910232117137156924161214222825311711915642222016114252319521248313121718101241642115851132171222181471325102361920923258121471191810132116202361791115522244231713102212256924114358220191518721161141118157172413145125920821193416210231262289523132212261114244716251012201181531719106192423201241552317122713918148161125211614213251892310191113212151722681424205712142220257191681731015186115232124942131152062101141814239816317241925521127122131721713816919122206142515411231224105231825191211861510215242223132914201773114816923113482417271851012161615221325192114202216241452031312254197211181181023179152632223252017211166127241510118141945139218131515111814251082120191732291676422412231872116141912415208256913243231722110112548101292212413212316181425201511251936717621719242357392211141321810122520181416151948616131132212152592423182211420117710521101417711623241913382041225511156221892525322159102018216121117172361319211484242013291216157141718221053482416112523191224121811235178254621219141022719162013153,18852847579500,18852847670200,90,1
Puzzle_2,ConstraintPropagation,Yes,352,2.29,19.63,51,29,22,34,29,22,51,33,0,272,13657192,1452018191023017137150001612002200000709004020160140005212483012000124164015000000122218140001023600000000001191810132102006170111552224423013100122569240400022000070000018071724005100200211934162000022005231300226111400702510122011815017006190000120155231710713901481611250161021325189010190000151700000057121422007016817300180052321249401310200210110002390160170025021120122017210130169190006142515402312010023180191210615021500002900073040002300400007180000016152213019002000241452031300019001101180231791526322232520172111601202400018141905130218130150181401000201903001670022412007000191200200006913243017000110080000100023018142501511001900000201900570901110021810025200141600480160113220150924002014201071002110017700232419133820000011060189252500150100182160000023013192114800200290210157001822053000161125231912240181123508250621219141022009001303,14520181910232117137156924161214222825311711915642222016114252319521248313121718101241642115851132171222181471325102361920923258121471191810132116202361791115522244231713102212256924114358220191518721161141118157172413145125920821193416210231262289523132212261114244716251012201181531719106192423201241552317122713918148161125211614213251892310191113212151722681424205712142220257191681731015186115232124942131152062101141814239816317241925521127122131721713816919122206142515411231224105231825191211861510215242223132914201773114816923113482417271851012161615221325192114202216241452031312254197211181181023179152632223252017211166127241510118141945139218131515111814251082120191732291676422412231872116141912415208256913243231722110112548101292212413212316181425201511251936717621719242357392211141321810122520181416151948616131132212152592423182211420117710521101417711623241913382041225511156221892525322159102018216121117172361319211484242013291216157141718221053482416112523191224121811235178254621219141022719162013153,18859762857300,18859762981700,124,1
Puzzle_2,DPLLSAT,Yes,352,2.29,19.63,102169,102714,103082,103177,102922,102169,103177,102812,0,15625,1929379840,1452018191023017137150001612002200000709004020160140005212483012000124164015000000122218140001023600000000001191810132102006170111552224423013100122569240400022000070000018071724005100200211934162000022005231300226111400702510122011815017006190000120155231710713901481611250161021325189010190000151700000057121422007016817300180052321249401310200210110002390160170025021120122017210130169190006142515402312010023180191210615021500002900073040002300400007180000016152213019002000241452031300019001101180231791526322232520172111601202400018141905130218130150181401000201903001670022412007000191200200006913243017000110080000100023018142501511001900000201900570901110021810025200141600480160113220150924002014201071002110017700232419133820000011060189252500150100182160000023013192114800200290210157001822053000161125231912240181123508250621219141022009001303,14520181910232117137156924161214222825311711915642222016114252319521248313121718101241642115851132171222181471325102361920923258121471191810132116202361791115522244231713102212256924114358220191518721161141118157172413145125920821193416210231262289523132212261114244716251012201181531719106192423201241552317122713918148161125211614213251892310191113212151722681424205712142220257191681731015186115232124942131152062101141814239816317241925521127122131721713816919122206142515411231224105231825191211861510215242223132914201773114816923113482417271851012161615221325192114202216241452031312254197211181181023179152632223252017211166127241510118141945139218131515111814251082120191732291676422412231872116141912415208256913243231722110112548101292212413212316181425201511251936717621719242357392211141321810122520181416151948616131132212152592423182211420117710521101417711623241913382041225511156221892525322159102018216121117172361319211484242013291216157141718221053482416112523191224121811235178254621219141022719162013153,18859929250000,18859929396100,146,1
Puzzle_2,DLX,Yes,352,2.29,19.63,6,4,5,5,5,4,6,5,273,273,1257664,1452018191023017137150001612002200000709004020160140005212483012000124164015000000122218140001023600000000001191810132102006170111552224423013100122569240400022000070000018071724005100200211934162000022005231300226111400702510122011815017006190000120155231710713901481611250161021325189010190000151700000057121422007016817300180052321249401310200210110002390160170025021120122017210130169190006142515402312010023180191210615021500002900073040002300400007180000016152213019002000241452031300019001101180231791526322232520172111601202400018141905130218130150181401000201903001670022412007000191200200006913243017000110080000100023018142501511001900000201900570901110021810025200141600480160113220150924002014201071002110017700232419133820000011060189252500150100182160000023013192114800200290210157001822053000161125231912240181123508250621219141022009001303,14520181910232117137156924161214222825311711915642222016114252319521248313121718101241642115851132171222181471325102361920923258121471191810132116202361791115522244231713102212256924114358220191518721161141118157172413145125920821193416210231262289523132212261114244716251012201181531719106192423201241552317122713918148161125211614213251892310191113212151722681424205712142220257191681731015186115232124942131152062101141814239816317241925521127122131721713816919122206142515411231224105231825191211861510215242223132914201773114816923113482417271851012161615221325192114202216241452031312254197211181181023179152632223252017211166127241510118141945139218131515111814251082120191732291676422412231872116141912415208256913243231722110112548101292212413212316181425201511251936717621719242357392211141321810122520181416151948616131132212152592423182211420117710521101417711623241913382041225511156221892525322159102018216121117172361319211484242013291216157141718221053482416112523191224121811235178254621219141022719162013153,19373993567200,19373993663200,96,1
Puzzle_3,Backtracking,No,344,2.05,19.22,0,0,0,0,0,0,0,0,N/A,N/A,0,104025019001021801406129000000550192324022120016602001802514131011011500000021502011100104824231518016221907218180001105002400017221962500013150221401801600040001900024202117120110600001500002125190402214020080021016000203000017231822000246401418790222119000205000616150111222024023001107004014021208519025920000500001790121801007240001341300502231441822017002001921120081114230240000000020250341301121951822700111720240003411200614052513000001690171171025000136001800194002061501941300501811009822162510700000002001019301022941115020008230250248131004200171400180162250110100023100000001806016001710130031912025501411017082413019231590012020022070017402215023111225000018807001401319623228001254142037131011160000000401703024082023111025220001213218600071600617221018000190080000401892512110013224021050237001503080211000120201601900001514421823251170,N/A,19374019542700,19374019724600,181,1
Puzzle_3,ConstraintPropagation,Yes,344,2.05,19.22,24,23,39,33,26,23,39,29,0,280,7573664,104025019001021801406129000000550192324022120016602001802514131011011500000021502011100104824231518016221907218180001105002400017221962500013150221401801600040001900024202117120110600001500002125190402214020080021016000203000017231822000246401418790222119000205000616150111222024023001107004014021208519025920000500001790121801007240001341300502231441822017002001921120081114230240000000020250341301121951822700111720240003411200614052513000001690171171025000136001800194002061501941300501811009822162510700000002001019301022941115020008230250248131004200171400180162250110100023100000001806016001710130031912025501411017082413019231590012020022070017402215023111225000018807001401319623228001254142037131011160000000401703024082023111025220001213218600071600617221018000190080000401892512110013224021050237001503080211000120201601900001514421823251170,11142025241915171021818142261293162713235521923248221293166720171821251413101141151714963252157201110211348242315181216221916721818421311235191524121020172219625143101315122214118616239254375191128242021171211110651323241571681721251934922142201881913219164251221535112014172318221107246417141879322211925124223513201061615811122232415231820111710134614162122185191725920162255108614179221218191111572432321134132535102231441822151719242071921121668111423124121916815627202510341317112195182278181117202421229341121626141952513151023222169211711710258514136122418152319413206152019413123511811232198221625107172421421181221671019313124229411156201417823525924813162542012171437182316225191121101522310227152159181462016811171213254319122425561411117282413211923159310124201822167320174192215162311122510522118824761149131962322815181254142937131011162024512172115451714372419820231110252292111213218616111271620236172212418131511925583142294101892512111410132241221165242376171520319824211031312920165191762281514421823251171,19554033741700,19554033844600,102,1
