PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_1,Backtracking,Yes,24,1.10,30.33,28,20,32,25,23,20,32,25,2359,56,9056816,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126938574537614892984752136391845267265379481748126359813297645472563918659481723,2654165631400,2654182206000,16574,1
Puzzle_1,ConstraintPropagation,Yes,24,1.10,30.33,40,30,30,30,20,20,40,30,6,56,9069776,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,2654316360100,2654316486300,126,1
Puzzle_1,DPLLSAT,Yes,24,1.10,30.33,175,61,48,46,50,46,175,76,2,729,85450408,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126934578537641892984152736391584267265379481743826159812793645478265319659417823,2654474473400,2654474621700,148,1
Puzzle_1,DLX,Yes,24,1.10,30.33,15,10,15,12,10,10,15,12,111,57,9079928,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,2654857318900,2654857416300,97,1
Puzzle_2,Backtracking,Yes,23,1.21,31.84,23,17,20,10,25,10,25,19,6689,57,9082752,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2654929074300,2654929404500,330,1
Puzzle_2,ConstraintPropagation,Yes,23,1.21,31.84,22,18,20,17,16,16,22,18,33,57,11181232,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2655022950800,2655023061200,110,1
Puzzle_2,DPLLSAT,Yes,23,1.21,31.84,64,71,47,62,48,47,71,58,2,729,33171488,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2655116614500,2655116841900,227,1
Puzzle_2,DLX,Yes,23,1.21,31.84,6,20,11,19,13,6,20,13,64,58,9089064,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,2655410545900,2655410851500,305,1
Puzzle_3,Backtracking,Yes,23,1.04,30.06,19,12,16,32,18,12,32,19,4892,57,9090368,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,2655480751600,2655480864100,112,1
Puzzle_3,ConstraintPropagation,Yes,23,1.04,30.06,20,19,15,9,17,9,20,16,12,57,9091136,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,2655586083700,2655586233700,150,1
Puzzle_3,DPLLSAT,Yes,23,1.04,30.06,50,54,56,60,53,50,60,54,1,729,34969456,007420000010900000000001030000800720040070580300000010030060000900030050000009001,567423198413987265294651837659814723142376589378295416735168942981732654826549371,2655673656700,2655673877100,220,1
Puzzle_3,DLX,Yes,23,1.04,30.06,13,13,12,11,13,11,13,12,61,58,9092280,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,2655955371400,2655955535800,164,1
Puzzle_4,Backtracking,Yes,25,1.18,30.76,18,19,18,17,11,11,19,16,1390,55,9093104,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,2656024309900,2656024482100,172,1
Puzzle_4,ConstraintPropagation,Yes,25,1.18,30.76,17,19,18,16,16,16,19,17,4,55,9094352,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,2656116239300,2656116371400,132,1
Puzzle_4,DPLLSAT,Yes,25,1.18,30.76,72,66,60,60,60,60,72,63,1,729,34819096,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132478659856394217694125387243589176581762943379641825467983512725816394918253764,2656206961100,2656207250100,289,1
Puzzle_4,DLX,Yes,25,1.18,30.76,19,13,17,12,8,8,19,13,56,56,9096872,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,2656535542100,2656535683900,141,1
Puzzle_5,Backtracking,Yes,24,1.28,32.18,16,24,16,18,18,16,24,18,4549,56,9097688,408200000209700000030100000000305120041000609000000000000000418007020090500000002,478256931219734586635189274896345127341872659752691843923567418167428395584913762,2656617614600,2656617757900,143,1
