PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_1,Backtracking,Yes,130,2.17,25.22,25,16,16,15,15,15,25,17,5315,125,830168,70012140018061000016160040890013011010091581101315312016100401415011016070095001220003011050049157206509151301412301410011100401600013155208000161529604110070013000067032150000401330110014000011001508001170100000014031015021301001207060160100014040016112013120000121603087904051000050012160600200920015000051030080,73131214541826101191516162641289101413151131579158112131531271610641414151011316671495813122813143101115616491572126579151321412381410161110114116127313155298146121615296841114107131355816679321510114124111339110414161325111271568412117511569816131423101514213810111247365169117814645916112151312103111012162314879134651151343511512161061482117926915137101151123161484,13960381979700,13960394838600,12858,1
Puzzle_1,ConstraintPropagation,Yes,130,2.17,25.22,44,16,9,12,9,9,44,18,5,125,1243816,70012140018061000016160040890013011010091581101315312016100401415011016070095001220003011050049157206509151301412301410011100401600013155208000161529604110070013000067032150000401330110014000011001508001170100000014031015021301001207060160100014040016112013120000121603087904051000050012160600200920015000051030080,73131214541826101191516162641289101413151131579158112131531271610641414151011316671495813122813143101115616491572126579151321412381410161110114116127313155298146121615296841114107131355816679321510114124111339110414161325111271568412117511569816131423101514213810111247365169117814645916112151312103111012162314879134651151343511512161061482117926915137101151123161484,13960494708500,13960494838300,129,1
Puzzle_1,DPLLSAT,Yes,130,2.17,25.22,2079,1980,2026,2098,2294,1980,2294,2095,0,4096,406388040,70012140018061000016160040890013011010091581101315312016100401415011016070095001220003011050049157206509151301412301410011100401600013155208000161529604110070013000067032150000401330110014000011001508001170100000014031015021301001207060160100014040016112013120000121603087904051000050012160600200920015000051030080,73131214541826101191516162641289101413151131579158112131531271610641414151011316671495813122813143101115616491572126579151321412381410161110114116127313155298146121615296841114107131355816679321510114124111339110414161325111271568412117511569816131423101514213810111247365169117814645916112151312103111012162314879134651151343511512161061482117926915137101151123161484,13960585971400,13960586254400,283,1
Puzzle_1,DLX,Yes,130,2.17,25.22,11,7,5,6,6,5,11,7,126,126,1257232,70012140018061000016160040890013011010091581101315312016100401415011016070095001220003011050049157206509151301412301410011100401600013155208000161529604110070013000067032150000401330110014000011001508001170100000014031015021301001207060160100014040016112013120000121603087904051000050012160600200920015000051030080,73131214541826101191516162641289101413151131579158112131531271610641414151011316671495813122813143101115616491572126579151321412381410161110114116127313155298146121615296841114107131355816679321510114124111339110414161325111271568412117511569816131423101514213810111247365169117814645916112151312103111012162314879134651151343511512161061482117926915137101151123161484,13971064953200,13971065180600,227,1
Puzzle_2,Backtracking,Yes,135,1.75,22.27,8,8,7,7,6,6,8,7,438,120,1260232,00500001013000140160215000750014160800600813000010001509712491471112161503825010138201114169100013403001641501170011410002090131404100015000800100101506048901171214067080401500100110110001310700101400600816001401221300930410131500320000001418012900100006150021300005315124710110600131016090110213121508004000000190000147,61512928101374111415163215103175131214169811461611813463141051152971249147111216156382511013826111416915127134103151216415511783114101362997131412410311152618516153101513624891611712141467285491516311213111011312913115784101416562581611014111221367931541013154632169111257141871298161015146154321311131425315124710118616913101679141116213121548515411162813619531012147,13971100150200,13971100302600,152,1
Puzzle_2,ConstraintPropagation,Yes,135,1.75,22.27,6,7,7,7,9,6,9,7,0,120,1263176,00500001013000140160215000750014160800600813000010001509712491471112161503825010138201114169100013403001641501170011410002090131404100015000800100101506048901171214067080401500100110110001310700101400600816001401221300930410131500320000001418012900100006150021300005315124710110600131016090110213121508004000000190000147,61512928101374111415163215103175131214169811461611813463141051152971249147111216156382511013826111416915127134103151216415511783114101362997131412410311152618516153101513624891611712141467285491516311213111011312913115784101416562581611014111221367931541013154632169111257141871298161015146154321311131425315124710118616913101679141116213121548515411162813619531012147,13971136865700,13971136940200,74,1
Puzzle_2,DPLLSAT,Yes,135,1.75,22.27,2074,2233,2437,3395,3375,2074,3395,2702,0,4096,512015216,00500001013000140160215000750014160800600813000010001509712491471112161503825010138201114169100013403001641501170011410002090131404100015000800100101506048901171214067080401500100110110001310700101400600816001401221300930410131500320000001418012900100006150021300005315124710110600131016090110213121508004000000190000147,61512928101374111415163215103175131214169811461611813463141051152971249147111216156382511013826111416915127134103151216415511783114101362997131412410311152618516153101513624891611712141467285491516311213111011312913115784101416562581611014111221367931541013154632169111257141871298161015146154321311131425315124710118616913101679141116213121548515411162813619531012147,13971172796100,13971172990900,194,1
Puzzle_2,DLX,Yes,135,1.75,22.27,8,6,6,5,7,5,8,6,121,121,1267600,00500001013000140160215000750014160800600813000010001509712491471112161503825010138201114169100013403001641501170011410002090131404100015000800100101506048901171214067080401500100110110001310700101400600816001401221300930410131500320000001418012900100006150021300005315124710110600131016090110213121508004000000190000147,61512928101374111415163215103175131214169811461611813463141051152971249147111216156382511013826111416915127134103151216415511783114101362997131412410311152618516153101513624891611712141467285491516311213111011312913115784101416562581611014111221367931541013154632169111257141871298161015146154321311131425315124710118616913101679141116213121548515411162813619531012147,13984687692000,13984687814200,122,1
Puzzle_3,Backtracking,Yes,135,1.46,20.67,75,71,54,14,10,10,75,44,3309,120,1401800,62013011001000507101000015001451106160800100010800131612110040081200300000000900001301610141006154130120014000113008516041153011013058100149014861502100090301212851716142906130103009706300410000023002001501270110060001408012110021013016100131214001502106394001007110013090016140003450670012012011130091640301107080100,62151316119141812354710112391315104145117616287510142168154131612119341611812753610921413115911235138161014112761541371210914462113151851616411531211713658102149514861510217164911313121285171614291561341031110971163135411614151282313162141510127811956141561448912115321013716111113121451615821063947210671181133915416141258345106791612141215111314159164231211137581106,13984719872400,13984719983000,110,1
Puzzle_3,ConstraintPropagation,Yes,135,1.46,20.67,8,7,8,15,9,7,15,9,0,120,1271760,62013011001000507101000015001451106160800100010800131612110040081200300000000900001301610141006154130120014000113008516041153011013058100149014861502100090301212851716142906130103009706300410000023002001501270110060001408012110021013016100131214001502106394001007110013090016140003450670012012011130091640301107080100,62151316119141812354710112391315104145117616287510142168154131612119341611812753610921413115911235138161014112761541371210914462113151851616411531211713658102149514861510217164911313121285171614291561341031110971163135411614151282313162141510127811956141561448912115321013716111113121451615821063947210671181133915416141258345106791612141215111314159164231211137581106,13984944803500,13984944929300,125,1
